2023-09-25 21:40:16,277.smoker-temp-producer.INFO ==================================================
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Today is 2023-09-25 at 09:40 PM
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Running on: posix Darwin 22.5.0
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Python version:  3.11.2
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Python path: /Users/macbeth/Documents/Streaming Data/Module 5/streaming-05-smart-smoker/.venv
2023-09-25 21:40:16,277.smoker-temp-producer.INFO Working dir: /Users/macbeth/Documents/Streaming Data/Module 5/streaming-05-smart-smoker
2023-09-25 21:40:16,277.smoker-temp-producer.INFO ==================================================
2023-09-25 21:40:18,386.smoker-temp-producer.INFO Offer to monitor RabbitMQ queues.
2023-09-25 21:40:18,431.smoker-temp-producer.INFO Skipped header row
2023-09-25 21:41:00,517.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:26:15', 'No temperature') to 03-food-B
2023-09-25 21:41:03,523.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:27:10', '108.2') to 01-smoker
2023-09-25 21:41:03,523.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:27:10', 'No temperature') to 02-food-A
2023-09-25 21:41:03,524.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:27:10', 'No temperature') to 03-food-B
2023-09-25 21:41:06,527.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:27:15', '108.2') to 01-smoker
2023-09-25 21:41:06,528.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:27:15', 'No temperature') to 02-food-A
2023-09-25 21:41:06,528.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:27:15', 'No temperature') to 03-food-B
2023-09-25 21:41:09,534.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:28:10', '111.4') to 01-smoker
2023-09-25 21:41:09,535.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:28:10', 'No temperature') to 02-food-A
2023-09-25 21:41:09,535.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:28:10', 'No temperature') to 03-food-B
2023-09-25 21:41:12,541.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:28:15', '111.4') to 01-smoker
2023-09-25 21:41:12,542.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:28:15', 'No temperature') to 02-food-A
2023-09-25 21:41:12,542.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:28:15', 'No temperature') to 03-food-B
2023-09-25 21:41:15,547.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:29:10', '114.2') to 01-smoker
2023-09-25 21:41:15,548.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:29:10', 'No temperature') to 02-food-A
2023-09-25 21:41:15,548.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:29:10', 'No temperature') to 03-food-B
2023-09-25 21:41:18,554.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:29:15', '114.2') to 01-smoker
2023-09-25 21:41:18,555.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:29:15', 'No temperature') to 02-food-A
2023-09-25 21:41:18,555.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:29:15', 'No temperature') to 03-food-B
2023-09-25 21:41:21,556.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:30:10', '116.9') to 01-smoker
2023-09-25 21:41:21,557.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:30:10', 'No temperature') to 02-food-A
2023-09-25 21:41:21,557.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:30:10', 'No temperature') to 03-food-B
2023-09-25 21:41:24,564.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:30:15', '116.9') to 01-smoker
2023-09-25 21:41:24,564.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:30:15', 'No temperature') to 02-food-A
2023-09-25 21:41:24,565.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:30:15', 'No temperature') to 03-food-B
2023-09-25 21:41:27,571.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:31:10', '119.4') to 01-smoker
2023-09-25 21:41:27,571.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:31:10', 'No temperature') to 02-food-A
2023-09-25 21:41:27,572.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:31:10', 'No temperature') to 03-food-B
2023-09-25 21:41:30,578.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:31:15', '119.4') to 01-smoker
2023-09-25 21:41:30,578.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:31:15', 'No temperature') to 02-food-A
2023-09-25 21:41:30,579.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:31:15', 'No temperature') to 03-food-B
2023-09-25 21:41:33,581.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:32:10', '120.1') to 01-smoker
2023-09-25 21:41:33,582.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:32:10', 'No temperature') to 02-food-A
2023-09-25 21:41:33,582.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:32:10', 'No temperature') to 03-food-B
2023-09-25 21:41:36,586.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:32:15', '120.1') to 01-smoker
2023-09-25 21:41:36,586.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:32:15', 'No temperature') to 02-food-A
2023-09-25 21:41:36,587.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:32:15', 'No temperature') to 03-food-B
2023-09-25 21:41:39,593.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:33:10', '106.2') to 01-smoker
2023-09-25 21:41:39,594.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:33:10', 'No temperature') to 02-food-A
2023-09-25 21:41:39,594.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:33:10', 'No temperature') to 03-food-B
2023-09-25 21:41:42,597.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:33:15', '106.2') to 01-smoker
2023-09-25 21:41:42,597.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:33:15', 'No temperature') to 02-food-A
2023-09-25 21:41:42,598.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:33:15', 'No temperature') to 03-food-B
2023-09-25 21:41:45,603.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:34:10', '103.5') to 01-smoker
2023-09-25 21:41:45,603.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:34:10', 'No temperature') to 02-food-A
2023-09-25 21:41:45,604.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:34:10', 'No temperature') to 03-food-B
2023-09-25 21:41:48,610.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:34:15', '103.5') to 01-smoker
2023-09-25 21:41:48,611.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:34:15', 'No temperature') to 02-food-A
2023-09-25 21:41:48,611.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:34:15', 'No temperature') to 03-food-B
2023-09-25 21:41:51,615.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:35:10', '105.3') to 01-smoker
2023-09-25 21:41:51,617.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:35:10', 'No temperature') to 02-food-A
2023-09-25 21:41:51,617.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:35:10', 'No temperature') to 03-food-B
2023-09-25 21:41:54,623.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:35:15', '105.3') to 01-smoker
2023-09-25 21:41:54,624.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:35:15', 'No temperature') to 02-food-A
2023-09-25 21:41:54,624.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:35:15', 'No temperature') to 03-food-B
2023-09-25 21:41:57,630.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:36:10', '106.9') to 01-smoker
2023-09-25 21:41:57,631.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:36:10', 'No temperature') to 02-food-A
2023-09-25 21:41:57,631.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:36:10', 'No temperature') to 03-food-B
2023-09-25 21:42:00,637.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:36:15', '106.9') to 01-smoker
2023-09-25 21:42:00,638.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:36:15', 'No temperature') to 02-food-A
2023-09-25 21:42:00,638.smoker-temp-producer.INFO [x] Sent ('05/22/21 12:36:15', 'No temperature') to 03-food-B
